station_id,day_name,hour,avg_docks
103,3,22,37.5
103,3,23,37.57
103,4,0,36.56
103,4,1,37.0
103,4,2,35.0
103,4,3,33.0
103,4,4,31.0
103,4,5,34.57
103,4,6,34.75
103,4,7,35.0
103,4,8,34.94
103,4,9,34.11
103,4,10,35.21
103,4,11,35.54
103,4,12,35.79
103,4,13,36.77
103,4,14,39.31
103,4,15,39.86
103,4,16,38.78
103,4,17,38.44
103,4,18,39.14
103,4,19,38.12
103,4,20,39.14
103,4,21,40.0
103,4,22,39.86
103,4,23,38.58
103,5,0,37.5
103,5,1,37.5
103,5,2,37.14
103,5,3,36.67
103,5,4,38.0
103,5,5,37.78
103,5,6,36.7
103,5,7,37.0
103,5,8,37.58
103,5,9,37.05
103,5,10,36.25
103,5,11,35.88
103,5,12,36.0
103,5,13,36.54
103,5,14,37.04
103,5,15,36.94
103,5,16,37.0
103,5,17,37.25
103,5,18,37.23
103,5,19,37.43
103,5,20,38.0
103,5,21,39.0
103,6,0,37.8
103,6,1,34.71
103,6,2,34.0
103,6,3,34.0
103,6,4,37.0
103,6,5,38.67
103,6,6,40.0
103,6,7,39.0
103,6,8,38.81
103,6,9,38.68
103,6,10,38.0
103,6,11,38.0
103,6,12,38.5
103,6,13,38.23
103,6,14,38.17
103,6,15,37.79
103,6,16,37.73
103,6,17,37.33
103,6,18,37.42
103,6,19,37.5
103,6,20,37.33
103,6,21,37.0
103,6,22,36.88
103,6,23,36.0
104,0,0,33.75
104,0,1,34.0
104,0,2,34.0
104,0,3,36.0
104,0,4,39.0
104,0,5,37.5
104,0,6,37.0
104,0,7,36.93
104,0,8,36.81
104,0,9,35.14
104,0,10,36.2
104,0,11,37.25
104,0,12,34.88
104,0,13,35.5
104,0,14,35.59
104,0,15,35.0
104,0,16,34.0
104,0,17,35.0
104,0,18,21.0
104,0,20,23.43
104,0,21,22.29
104,0,22,22.29
104,0,23,21.0
104,1,0,31.45
104,1,1,32.25
104,1,2,32.25
104,1,3,32.38
104,1,4,33.0
104,1,5,33.18
104,1,6,33.75
104,1,7,30.75
104,1,8,29.38
104,1,9,29.77
104,1,10,29.75
104,1,11,27.05
104,1,12,20.38
104,1,13,23.94
104,1,14,25.0
104,1,15,27.56
104,1,16,29.0
104,1,17,30.43
104,1,18,29.25
104,1,19,33.83
104,1,20,34.0
104,1,21,32.14
104,1,22,34.0
104,1,23,30.86
104,2,0,38.14
104,2,1,39.0
104,2,2,33.71
104,2,3,31.0
104,2,4,32.12
104,2,5,32.7
104,2,6,31.67
104,2,7,31.67
104,2,8,32.55
104,2,9,32.83
104,2,10,32.16
104,2,11,27.17
104,2,12,28.0
104,2,13,31.62
104,2,14,32.5
104,2,16,36.71
104,2,17,39.43
104,2,18,39.71
104,2,19,39.0
104,2,20,40.0
104,2,21,40.0
104,2,22,40.0
104,2,23,40.0
104,3,0,37.11
104,3,1,35.75
104,3,2,35.75
104,3,3,36.15
104,3,4,37.15
104,3,5,37.0
104,3,6,35.74
104,3,7,28.11
104,3,8,21.67
104,3,9,24.17
104,3,10,24.67
104,3,11,24.56
104,3,12,24.33
104,3,13,19.18
104,3,14,9.0
104,3,15,24.67
104,3,16,34.8
104,3,17,30.9
104,3,18,33.14
104,3,19,37.0
104,3,20,37.0
104,3,21,33.14
104,3,22,38.08
104,3,23,35.5
104,4,0,31.25
104,4,1,31.0
104,4,2,29.33
104,4,3,29.33
104,4,5,26.08
104,4,6,23.77
104,4,7,23.0
104,4,8,27.0
104,4,9,28.46
104,4,10,29.08
104,4,11,29.71
104,4,12,29.83
104,4,13,26.29
104,4,14,28.37
104,4,15,24.93
104,4,16,28.25
104,4,17,28.69
104,4,18,30.92
104,4,19,31.25
104,4,20,29.25
104,4,21,30.2
104,4,22,16.0
104,4,23,18.83
104,5,0,27.46
104,5,1,27.0
104,5,2,27.0
104,5,3,22.44
104,5,4,22.6
104,5,5,30.13
104,5,6,30.5
104,5,7,31.0
104,5,8,31.0
104,5,9,31.17
104,5,10,31.83
104,5,11,31.7
104,5,12,35.58
104,5,13,35.63
104,5,14,36.33
104,5,15,37.0
104,5,16,35.0
104,5,17,37.0
104,5,18,38.0
104,5,19,34.67
104,5,20,40.0
104,5,21,25.0
104,5,22,25.0
104,5,23,31.67
104,6,0,35.26
104,6,1,36.25
104,6,2,35.0
104,6,3,33.57
104,6,4,32.5
104,6,5,34.78
104,6,6,34.67
104,6,7,35.83
104,6,8,36.7
104,6,9,36.8
104,6,10,36.8
104,6,11,37.21
104,6,12,39.92
104,6,13,39.0
104,6,14,38.88
104,6,15,39.0
104,6,16,39.0
104,6,17,39.0
104,6,18,39.0
104,6,19,39.0
104,6,20,39.0
104,6,21,36.13
104,6,22,32.5
104,6,23,28.0
105,0,0,32.76
105,0,1,33.0
105,0,2,33.25
105,0,3,33.2
105,0,4,33.33
105,0,5,33.6
105,0,6,33.6
105,0,7,33.63
105,0,8,33.8
105,0,9,33.8
105,0,10,33.8
105,0,11,32.07
105,0,12,31.52
105,0,13,31.16
105,0,14,30.21
105,0,15,29.75
105,0,16,34.67
105,0,17,33.67
105,0,18,29.8
105,0,19,30.5
105,0,20,35.0
105,0,21,34.71
105,0,22,35.14
105,0,23,34.13
105,1,0,33.73
105,1,1,32.71
105,1,2,30.33
105,1,3,31.48
105,1,4,31.75
105,1,5,31.84
105,1,6,30.76
105,1,7,31.03
105,1,8,31.37
105,1,9,32.43
105,1,10,31.23
105,1,11,31.4
105,1,12,29.29
105,1,13,27.67
105,1,14,27.79
105,1,15,35.0
105,1,16,32.78
105,1,17,33.89
105,1,18,33.0
105,1,19,34.0
105,1,20,31.5
105,1,21,22.0
105,1,22,31.0
105,1,23,22.0
105,2,0,32.8
105,2,1,30.5
105,2,2,30.5
105,2,3,32.68
105,2,4,33.0
105,2,5,32.67
105,2,6,32.33
105,2,7,32.33
105,2,8,33.33
105,2,9,34.83
105,2,10,35.0
105,2,11,34.94
105,2,12,31.46
105,2,13,27.69
105,2,14,30.3
105,2,15,36.0
105,2,16,18.0
105,2,17,28.4
105,2,18,35.6
105,2,19,35.0
105,2,20,33.0
105,2,21,34.17
105,2,22,35.92
105,2,23,36.0
105,3,0,34.71
105,3,1,35.5
105,3,2,35.5
105,3,3,30.55
105,3,4,30.38
105,3,5,32.21
105,3,6,32.38
105,3,7,32.5
105,3,8,32.62
105,3,9,34.75
105,3,10,36.0
105,3,11,35.67
105,3,12,35.44
105,3,13,32.8
105,3,14,36.0
105,3,15,24.5
105,3,16,27.75
105,3,17,24.67
105,3,18,26.89
105,3,19,26.25
105,3,20,29.67
105,3,21,30.43
105,3,22,26.73
105,3,23,28.75
105,4,0,29.58
105,4,1,29.5
105,4,2,29.55
105,4,3,29.63
105,4,4,29.55
105,4,5,29.5
105,4,6,29.5
105,4,7,29.75
105,4,8,31.67
105,4,9,35.12
105,4,10,35.36
105,4,11,35.0
105,4,12,35.28
105,4,13,34.8
105,4,14,35.08
105,4,15,35.43
105,4,16,33.0
105,4,17,34.0
105,4,18,36.0
105,4,20,36.0
105,4,21,36.0
105,4,22,35.4
105,4,23,35.5
105,5,0,35.36
105,5,1,35.5
105,5,2,35.5
105,5,3,35.1
105,5,4,35.0
105,5,5,35.0
105,5,6,35.0
105,5,7,35.0
105,5,8,35.04
